season,month,airport_a,airport_b,risk_score,reason,cascade_cost
Winter (Dec-Feb),12,MIA,SFO,65.77302976793939,duty time violation risk,
Spring (Mar-May),5,DEN,DTW,65.77165096261817,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,MAF,RDU,65.76361843529408,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,MEM,JAN,65.753048340554,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,MAF,VPS,65.74221762719145,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,EWR,MSY,65.72813155070038,correlated weather delays; duty time violation risk,85875.0
Spring (Mar-May),5,BNA,LFT,65.72394009572025,correlated weather delays; tight turnaround / missed connection risk,50100.0
Summer (Jun-Aug),6,LAS,TUL,65.71263095136085,tight turnaround / missed connection risk,
Summer (Jun-Aug),7,AUS,MSY,65.68270878078604,correlated weather delays; tight turnaround / missed connection risk,18600.0
Winter (Dec-Feb),12,PHX,MIA,65.67372619984664,duty time violation risk,
Summer (Jun-Aug),6,ATL,SFO,65.65395353513486,tight turnaround / missed connection risk,
Spring (Mar-May),5,ORD,AMA,65.64259933245508,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,ONT,BTR,65.63968555795726,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,SNA,GRK,65.62769451570117,correlated weather delays; duty time violation risk,
Winter (Dec-Feb),12,SAN,ELP,65.62283202684229,duty time violation risk,
Winter (Dec-Feb),12,IAH,SEA,65.61510112474775,duty time violation risk,
Summer (Jun-Aug),6,MCO,DCA,65.61388931316878,correlated weather delays; duty time violation risk,
Summer (Jun-Aug),6,SAN,FLL,65.59565977384837,correlated weather delays; duty time violation risk,
Summer (Jun-Aug),6,SEA,TPA,65.59320413543813,duty time violation risk,
Winter (Dec-Feb),12,DEN,CLT,65.58508651905422,duty time violation risk,
Summer (Jun-Aug),6,LAX,MEM,65.5841672772211,duty time violation risk,
Spring (Mar-May),5,MEM,SMF,65.5727468156567,correlated weather delays,
Summer (Jun-Aug),6,AUS,MEM,65.54990289008826,correlated weather delays; tight turnaround / missed connection risk,
Summer (Jun-Aug),6,AUS,BHM,65.54035726760699,correlated weather delays; tight turnaround / missed connection risk,76950.0
Spring (Mar-May),5,RDU,SHV,65.53769553225584,tight turnaround / missed connection risk,19425.0
Spring (Mar-May),5,OKC,SGF,65.50329086756122,correlated weather delays,
Spring (Mar-May),5,LGA,DTW,65.4985629800536,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,AUS,TPA,65.49349170810768,correlated weather delays; duty time violation risk,
Winter (Dec-Feb),12,SEA,MIA,65.48190531721475,duty time violation risk,
Winter (Dec-Feb),12,LIT,SHV,65.46747749957068,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,MIA,SHV,65.46683421961555,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,LAS,MEM,65.46169049941864,correlated weather delays; tight turnaround / missed connection risk,33000.0
Spring (Mar-May),5,SEA,BNA,65.45994016185054,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,IAH,JAN,65.45802547495889,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,SGF,VPS,65.44943086334438,correlated weather delays,16575.0
Spring (Mar-May),5,LGA,TUL,65.44745010606242,correlated weather delays; duty time violation risk,10275.0
Spring (Mar-May),5,SFO,DTW,65.43889155712627,correlated weather delays; duty time violation risk,
Summer (Jun-Aug),6,SAN,TPA,65.4378732924414,duty time violation risk,
Spring (Mar-May),5,AUS,SLC,65.43606458671594,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,MFE,BHM,65.43597487242636,correlated weather delays,
Spring (Mar-May),5,RDU,PNS,65.4328545348028,correlated weather delays; duty time violation risk,
Winter (Dec-Feb),12,LAX,DCA,65.41593112095092,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,CRP,TYS,65.40224156415289,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,IAH,HOU,65.3933702231258,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,RDU,BTR,65.38909451275731,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,LFT,OMA,65.38748716883393,correlated weather delays; duty time violation risk,
Summer (Jun-Aug),6,IAH,SAN,65.37265425565977,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,FLL,PNS,65.36723885894013,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,PHL,ELP,65.36461553045478,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,FLL,BHM,65.36269703862361,correlated weather delays; duty time violation risk,
Summer (Jun-Aug),6,IAH,MAF,65.3601046401849,tight turnaround / missed connection risk,
Summer (Jun-Aug),6,MCO,SDF,65.35463197549704,tight turnaround / missed connection risk,
Spring (Mar-May),5,SAF,TYS,65.3231828999173,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,ONT,AMA,65.31915142773708,correlated weather delays; duty time violation risk,
Summer (Jun-Aug),6,ORD,BNA,65.31852646480252,duty time violation risk,
Summer (Jun-Aug),6,LIT,BTR,65.31778607707074,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,BNA,MSY,65.31150611242082,correlated weather delays; tight turnaround / missed connection risk,10800.0
Spring (Mar-May),5,XNA,CHA,65.30557544220662,correlated weather delays; tight turnaround / missed connection risk,
Summer (Jun-Aug),6,DEN,ONT,65.29136159045558,duty time violation risk,
Spring (Mar-May),5,LBB,MFE,65.2903037462688,correlated weather delays,
Spring (Mar-May),5,TPA,LFT,65.28852479379897,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,SEA,FLL,65.27793662122943,correlated weather delays; duty time violation risk,
Summer (Jun-Aug),6,SAT,LIT,65.2724196699099,correlated weather delays; tight turnaround / missed connection risk,
Summer (Jun-Aug),7,LIT,SHV,65.27047511857737,correlated weather delays; tight turnaround / missed connection risk,21150.0
Spring (Mar-May),5,LAS,SLC,65.2591114196854,correlated weather delays; duty time violation risk,
Summer (Jun-Aug),6,SAN,LIT,65.25794869945285,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,MIA,XNA,65.25711873371178,correlated weather delays; duty time violation risk,
Winter (Dec-Feb),12,SFO,LIT,65.25496125976024,correlated weather delays; duty time violation risk,
