season,avoid_origin,avoid_dest,avoid_risk,swap_dest,swap_risk,risk_reduction
Winter (Dec-Feb),ORD,AUS,68.38548792996332,HRL,24.043950994178868,44.34153693578445
Winter (Dec-Feb),SLC,SAN,72.24927545491343,HRL,28.023372343943826,44.225903110969604
Summer (Jun-Aug),LAS,BOS,69.670841282491,HRL,25.515542986620186,44.15529829587081
Summer (Jun-Aug),LAS,TPA,69.66892360771195,HRL,25.515542986620186,44.153380621091756
Summer (Jun-Aug),IAH,SEA,70.7441974243954,HRL,26.741992567668415,44.002204856726976
Summer (Jun-Aug),ATL,MCI,66.40323723342235,HRL,22.45479028868943,43.948446944732915
Summer (Jun-Aug),LAS,CLT,66.07777827845287,HRL,22.208560129542953,43.869218148909916
Summer (Jun-Aug),IAH,FLL,70.59062530921548,HRL,26.741992567668415,43.848632741547064
Winter (Dec-Feb),TUL,LIT,69.5698123902006,HRL,25.82667405465415,43.74313833554645
Summer (Jun-Aug),MCO,BHM,73.67613281363302,HRL,29.994349102491487,43.681783711141534
Winter (Dec-Feb),XNA,PDX,68.7583351923899,LRD,25.092072709465604,43.66626248292429
Winter (Dec-Feb),IAH,LIT,71.12944688475612,HRL,27.488664664830882,43.64078221992524
Winter (Dec-Feb),ATL,LGA,67.25927567074463,HRL,23.731723087709312,43.527552583035316
Winter (Dec-Feb),OKC,LIT,68.50522565556267,HRL,25.005041369756576,43.50018428580609
Winter (Dec-Feb),ORD,MCO,67.53022218457328,HRL,24.043950994178868,43.486271190394405
Winter (Dec-Feb),XNA,OMA,68.46157529532071,LRD,25.092072709465604,43.36950258585511
Winter (Dec-Feb),MCO,BOS,66.49254714012575,HRL,23.14847864335496,43.34406849677079
Summer (Jun-Aug),ATL,EWR,65.78606582724328,HRL,22.45479028868943,43.33127553855385
Summer (Jun-Aug),DEN,DTW,66.31750700520006,HRL,23.051048285131216,43.26645872006884
Winter (Dec-Feb),MCO,SGF,66.071215162054,LRD,22.865240234508654,43.20597492754535
Summer (Jun-Aug),ATL,SFO,65.65395353513486,HRL,22.45479028868943,43.19916324644543
Winter (Dec-Feb),AUS,LIT,69.64572176720412,HRL,26.459201032393942,43.18652073481018
Winter (Dec-Feb),LAX,MIA,71.07923855569088,HRL,27.963635361808272,43.115603193882606
Winter (Dec-Feb),XNA,ABI,68.16603703145059,LRD,25.092072709465604,43.07396432198498
Summer (Jun-Aug),LAX,MSY,65.03467586024995,HRL,21.999386585575404,43.03528927467454
Winter (Dec-Feb),ORD,EWR,67.02714176016144,HRL,24.043950994178868,42.98319076598257
Summer (Jun-Aug),DEN,SAN,66.01918518182386,HRL,23.051048285131216,42.96813689669264
Summer (Jun-Aug),SEA,FLL,69.53016159818625,HRL,26.60627669577324,42.923884902413015
Winter (Dec-Feb),SGF,OMA,66.73893023597802,LRD,23.875921166090272,42.863009069887745
Summer (Jun-Aug),IAH,CLT,69.57536181682737,HRL,26.741992567668415,42.83336924915895
Winter (Dec-Feb),BOS,LIT,67.89909458447686,HRL,25.188871798214496,42.710222786262364
Summer (Jun-Aug),ATL,MEM,65.14005852679492,HRL,22.45479028868943,42.685268238105486
Summer (Jun-Aug),LGA,PHX,66.7069857950459,HRL,24.059468258858654,42.64751753618724
Summer (Jun-Aug),SEA,CLT,69.2058420306825,HRL,26.60627669577324,42.599565334909265
Summer (Jun-Aug),IAH,TPA,69.32528787839595,HRL,26.741992567668415,42.583295310727536
Summer (Jun-Aug),MCO,DTW,72.5150121563425,HRL,29.994349102491487,42.52066305385101
Winter (Dec-Feb),LAX,ORD,70.45725984546223,HRL,27.963635361808272,42.49362448365396
Winter (Dec-Feb),BTR,LFT,65.13614858217092,LRD,22.733083934650885,42.40306464752003
Winter (Dec-Feb),IAH,MCO,69.86154025327279,HRL,27.488664664830882,42.372875588441914
Summer (Jun-Aug),XNA,LIT,66.72512497758231,HRL,24.406798918564625,42.318326059017686
Winter (Dec-Feb),ATL,SAN,66.01522001452821,HRL,23.731723087709312,42.2834969268189
Summer (Jun-Aug),PHX,BOS,69.15689123836934,HRL,26.911666036713456,42.245225201655884
Summer (Jun-Aug),DEN,ONT,65.29136159045558,HRL,23.051048285131216,42.240313305324364
Winter (Dec-Feb),LGA,SAN,69.60933176183816,HRL,27.377653842215565,42.2316779196226
Summer (Jun-Aug),ORD,CLT,66.49196933996694,HRL,24.32842941743534,42.1635399225316
Summer (Jun-Aug),LAX,EWR,70.42316527757991,HRL,28.312126782198675,42.11103849538124
Summer (Jun-Aug),IAH,MSY,68.8446462146459,HRL,26.741992567668415,42.10265364697749
Summer (Jun-Aug),DEN,EWR,65.11999232744697,HRL,23.051048285131216,42.06894404231575
Summer (Jun-Aug),AUS,SAT,67.73419834881392,HRL,25.718098346147563,42.016100002666356
Summer (Jun-Aug),MCO,SAN,71.9395602551232,HRL,29.994349102491487,41.945211152631714
Winter (Dec-Feb),MSY,LIT,68.607758605478,HRL,26.677305836437736,41.93045276904026
Winter (Dec-Feb),LAX,DEN,69.83986924596819,HRL,27.963635361808272,41.876233884159916
